Path	Category	Size_Bytes	Lines	Git_Status	Survey_Status	Unread_Reason	Covered_In_Docs
distribution/separator-release-status.json	Manifests: Release & Checksum Pins	280	12	tracked	đọc đầy đủ		docs/project-atlas/BUILD_AND_RELEASE.md; docs/project-atlas/SECURITY_AND_LICENSE.md
docs/adr/001-hybrid-electron-python-engines.md	Docs: Architecture Decision Records	2802	43	untracked	đọc đầy đủ		docs/project-atlas/ARCHITECTURE.md; docs/project-atlas/EVIDENCE.md
docs/adr/002-typed-ipc-contracts.md	Docs: Architecture Decision Records	2483	34	untracked	đọc đầy đủ		docs/project-atlas/ARCHITECTURE.md; docs/project-atlas/EVIDENCE.md
docs/adr/003-on-demand-runtime-with-sha256-verification.md	Docs: Architecture Decision Records	2471	41	untracked	đọc đầy đủ		docs/project-atlas/ARCHITECTURE.md; docs/project-atlas/EVIDENCE.md
docs/adr/004-planar-rgb-for-ocr-blurring.md	Docs: Architecture Decision Records	2651	43	untracked	đọc đầy đủ		docs/project-atlas/ARCHITECTURE.md; docs/project-atlas/EVIDENCE.md
docs/adr/005-source-anchored-dubbing-tempo-policy.md	Docs: Architecture Decision Records	3293	45	untracked	đọc đầy đủ		docs/project-atlas/ARCHITECTURE.md; docs/project-atlas/EVIDENCE.md
docs/adr/006-sttn-inpainting-vs-masked-blur.md	Docs: Architecture Decision Records	2951	47	untracked	đọc đầy đủ		docs/project-atlas/ARCHITECTURE.md; docs/project-atlas/EVIDENCE.md
docs/adr/007-deterministic-ass-subtitle-geometry.md	Docs: Architecture Decision Records	2795	41	untracked	đọc đầy đủ		docs/project-atlas/ARCHITECTURE.md; docs/project-atlas/EVIDENCE.md
docs/architecture.md	Docs: Core Architecture & Domain	7021	153	untracked	đọc đầy đủ		docs/project-atlas/ARCHITECTURE.md; docs/project-atlas/GLOSSARY.md
docs/benchmarks/2026-09-04-separator-hardware-acceptance.md	Docs: Benchmark Audits & Qualifications	3037	60	tracked	đọc đầy đủ		docs/project-atlas/EVIDENCE.md; docs/project-atlas/TESTING.md
docs/benchmarks/2026-09-04-separator-model-qualification.md	Docs: Benchmark Audits & Qualifications	1772	33	tracked	đọc đầy đủ		docs/project-atlas/EVIDENCE.md; docs/project-atlas/TESTING.md
docs/benchmarks/2026-09-05-blur-audit.md	Docs: Benchmark Audits & Qualifications	15804	142	tracked	đọc đầy đủ		docs/project-atlas/EVIDENCE.md; docs/project-atlas/TESTING.md
docs/benchmarks/2026-09-05-ocr-blur-acceptance.md	Docs: Benchmark Audits & Qualifications	5144	106	tracked	đọc đầy đủ		docs/project-atlas/EVIDENCE.md; docs/project-atlas/TESTING.md
docs/benchmarks/2026-09-05-subtitle-inpainting-repo-review.md	Docs: Benchmark Audits & Qualifications	9593	80	tracked	đọc đầy đủ		docs/project-atlas/EVIDENCE.md; docs/project-atlas/TESTING.md
docs/benchmarks/2026-09-06-autoshort-client-remediation-acceptance.md	Docs: Benchmark Audits & Qualifications	5553	58	tracked	đọc đầy đủ		docs/project-atlas/EVIDENCE.md; docs/project-atlas/TESTING.md
docs/benchmarks/2026-09-06-autoshort-throughput-audit.md	Docs: Benchmark Audits & Qualifications	11329	151	tracked	đọc đầy đủ		docs/project-atlas/EVIDENCE.md; docs/project-atlas/TESTING.md
docs/benchmarks/2026-09-06-backend-quality-speed.md	Docs: Benchmark Audits & Qualifications	13331	95	tracked	đọc đầy đủ		docs/project-atlas/EVIDENCE.md; docs/project-atlas/TESTING.md
docs/benchmarks/2026-09-06-gemini-throughput-review.md	Docs: Benchmark Audits & Qualifications	13779	117	tracked	đọc đầy đủ		docs/project-atlas/EVIDENCE.md; docs/project-atlas/TESTING.md
docs/benchmarks/2026-09-06-sttn-acceptance.md	Docs: Benchmark Audits & Qualifications	5546	92	tracked	đọc đầy đủ		docs/project-atlas/EVIDENCE.md; docs/project-atlas/TESTING.md
docs/benchmarks/2026-09-06-sttn-duration-fix.md	Docs: Benchmark Audits & Qualifications	4907	81	tracked	đọc đầy đủ		docs/project-atlas/EVIDENCE.md; docs/project-atlas/TESTING.md
docs/benchmarks/2026-09-06-sttn-storage-optimization.md	Docs: Benchmark Audits & Qualifications	6924	121	tracked	đọc đầy đủ		docs/project-atlas/EVIDENCE.md; docs/project-atlas/TESTING.md
docs/benchmarks/2026-09-06-tempo-export-fix.md	Docs: Benchmark Audits & Qualifications	1823	34	tracked	đọc đầy đủ		docs/project-atlas/EVIDENCE.md; docs/project-atlas/TESTING.md
docs/benchmarks/2026-09-07-translation-cue-format-fix.md	Docs: Benchmark Audits & Qualifications	4637	41	tracked	đọc đầy đủ		docs/project-atlas/EVIDENCE.md; docs/project-atlas/TESTING.md
docs/domain.md	Docs: Core Architecture & Domain	6542	83	untracked	đọc đầy đủ		docs/project-atlas/ARCHITECTURE.md; docs/project-atlas/GLOSSARY.md
docs/superpowers/plans/2026-08-27-neeyut-blao-reset-and-cuda-path.md	Docs: Historical Specs & Implementation Plans	4787	70	tracked	đọc đầy đủ		docs/project-atlas/GAPS_AND_DOC_DRIFT.md; docs/project-atlas/EVIDENCE.md
docs/superpowers/plans/2026-08-28-autoshort-cue-voice-e2e.md	Docs: Historical Specs & Implementation Plans	4819	66	tracked	đọc đầy đủ		docs/project-atlas/GAPS_AND_DOC_DRIFT.md; docs/project-atlas/EVIDENCE.md
docs/superpowers/plans/2026-08-29-autoshort-hardcode-audit.md	Docs: Historical Specs & Implementation Plans	8762	94	tracked	đọc đầy đủ		docs/project-atlas/GAPS_AND_DOC_DRIFT.md; docs/project-atlas/EVIDENCE.md
docs/superpowers/plans/2026-08-29-autoshort-translation-repair.md	Docs: Historical Specs & Implementation Plans	6178	78	tracked	đọc đầy đủ		docs/project-atlas/GAPS_AND_DOC_DRIFT.md; docs/project-atlas/EVIDENCE.md
docs/superpowers/plans/2026-08-30-autoshort-background-music.md	Docs: Historical Specs & Implementation Plans	32987	809	tracked	đọc đầy đủ		docs/project-atlas/GAPS_AND_DOC_DRIFT.md; docs/project-atlas/EVIDENCE.md
docs/superpowers/plans/2026-08-30-autoshort-dubbing-finalization.md	Docs: Historical Specs & Implementation Plans	16071	243	tracked	đọc đầy đủ		docs/project-atlas/GAPS_AND_DOC_DRIFT.md; docs/project-atlas/EVIDENCE.md
docs/superpowers/plans/2026-08-30-autoshort-source-anchored-dubbing.md	Docs: Historical Specs & Implementation Plans	23214	361	tracked	đọc đầy đủ		docs/project-atlas/GAPS_AND_DOC_DRIFT.md; docs/project-atlas/EVIDENCE.md
docs/superpowers/plans/2026-08-30-tediapros-runtime-migration.md	Docs: Historical Specs & Implementation Plans	3713	38	tracked	đọc đầy đủ		docs/project-atlas/GAPS_AND_DOC_DRIFT.md; docs/project-atlas/EVIDENCE.md
docs/superpowers/plans/2026-09-04-autoshort-client-vocal-separation.md	Docs: Historical Specs & Implementation Plans	94488	2041	tracked	đọc đầy đủ		docs/project-atlas/GAPS_AND_DOC_DRIFT.md; docs/project-atlas/EVIDENCE.md
docs/superpowers/plans/2026-09-04-autoshort-ocr-timed-text-blur.md	Docs: Historical Specs & Implementation Plans	64942	1339	tracked	đọc đầy đủ		docs/project-atlas/GAPS_AND_DOC_DRIFT.md; docs/project-atlas/EVIDENCE.md
docs/superpowers/plans/2026-09-05-autoshort-ocr-timed-text-blur-detailed.md	Docs: Historical Specs & Implementation Plans	137158	2455	tracked	đọc đầy đủ		docs/project-atlas/GAPS_AND_DOC_DRIFT.md; docs/project-atlas/EVIDENCE.md
docs/superpowers/plans/2026-09-05-local-runtime-dev-mode.md	Docs: Historical Specs & Implementation Plans	3876	67	tracked	đọc đầy đủ		docs/project-atlas/GAPS_AND_DOC_DRIFT.md; docs/project-atlas/EVIDENCE.md
docs/superpowers/plans/2026-09-05-sttn-subtitle-removal.md	Docs: Historical Specs & Implementation Plans	5598	63	tracked	đọc đầy đủ		docs/project-atlas/GAPS_AND_DOC_DRIFT.md; docs/project-atlas/EVIDENCE.md
docs/superpowers/plans/2026-09-06-autoshort-client-remediation.md	Docs: Historical Specs & Implementation Plans	32400	307	tracked	đọc đầy đủ		docs/project-atlas/GAPS_AND_DOC_DRIFT.md; docs/project-atlas/EVIDENCE.md
docs/superpowers/plans/2026-09-06-autoshort-throughput.md	Docs: Historical Specs & Implementation Plans	19986	300	tracked	đọc đầy đủ		docs/project-atlas/GAPS_AND_DOC_DRIFT.md; docs/project-atlas/EVIDENCE.md
docs/superpowers/plans/codex-handoff-c6-c10.md	Docs: Historical Specs & Implementation Plans	11429	287	tracked	đọc đầy đủ		docs/project-atlas/GAPS_AND_DOC_DRIFT.md; docs/project-atlas/EVIDENCE.md
docs/superpowers/specs/2026-08-29-autoshort-translation-contract-design.md	Docs: Historical Specs & Implementation Plans	6538	77	tracked	đọc đầy đủ		docs/project-atlas/GAPS_AND_DOC_DRIFT.md; docs/project-atlas/EVIDENCE.md
docs/superpowers/specs/2026-08-30-autoshort-background-music-design.md	Docs: Historical Specs & Implementation Plans	5418	101	tracked	đọc đầy đủ		docs/project-atlas/GAPS_AND_DOC_DRIFT.md; docs/project-atlas/EVIDENCE.md
docs/superpowers/specs/2026-08-30-autoshort-source-anchored-dubbing-design.md	Docs: Historical Specs & Implementation Plans	9298	63	tracked	đọc đầy đủ		docs/project-atlas/GAPS_AND_DOC_DRIFT.md; docs/project-atlas/EVIDENCE.md
docs/superpowers/specs/2026-08-30-tediapros-runtime-migration-design.md	Docs: Historical Specs & Implementation Plans	6023	75	tracked	đọc đầy đủ		docs/project-atlas/GAPS_AND_DOC_DRIFT.md; docs/project-atlas/EVIDENCE.md
docs/superpowers/specs/2026-09-04-autoshort-client-vocal-separation-design.md	Docs: Historical Specs & Implementation Plans	22457	480	tracked	đọc đầy đủ		docs/project-atlas/GAPS_AND_DOC_DRIFT.md; docs/project-atlas/EVIDENCE.md
docs/superpowers/specs/2026-09-04-autoshort-ocr-timed-text-blur-design.md	Docs: Historical Specs & Implementation Plans	32725	677	tracked	đọc đầy đủ		docs/project-atlas/GAPS_AND_DOC_DRIFT.md; docs/project-atlas/EVIDENCE.md
docs/superpowers/specs/2026-09-05-sttn-subtitle-removal-design.md	Docs: Historical Specs & Implementation Plans	2951	13	tracked	đọc đầy đủ		docs/project-atlas/GAPS_AND_DOC_DRIFT.md; docs/project-atlas/EVIDENCE.md
docs/superpowers/specs/2026-09-06-autoshort-throughput-design.md	Docs: Historical Specs & Implementation Plans	22026	344	tracked	đọc đầy đủ		docs/project-atlas/GAPS_AND_DOC_DRIFT.md; docs/project-atlas/EVIDENCE.md
electron-builder.yml	Config/Legal: Project Root Configuration	2196	82	tracked	đọc đầy đủ		docs/project-atlas/CONFIGURATION.md; docs/project-atlas/SECURITY_AND_LICENSE.md
electron.vite.config.ts	Config/Legal: Project Root Configuration	987	40	tracked	đọc đầy đủ		docs/project-atlas/CONFIGURATION.md; docs/project-atlas/SECURITY_AND_LICENSE.md
engines/douyin-engine/.dockerignore	Source: Engine Python Douyin Downloader	142	16	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/.gitignore	Source: Engine Python Douyin Downloader	539	52	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/CHAY_DOUYIN.bat	Source: Engine Python Douyin Downloader	2133	77	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/Dockerfile	Source: Engine Python Douyin Downloader	370	19	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/LICENSE	Source: Engine Python Douyin Downloader	1064	21	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/PROJECT_SUMMARY.md	Source: Engine Python Douyin Downloader	4808	140	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/README.md	Source: Engine Python Douyin Downloader	18222	580	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/README.zh-CN.md	Source: Engine Python Douyin Downloader	17050	590	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/THONGSO.png	Source: Engine Python Douyin Downloader	50294	-1	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/__init__.py	Source: Engine Python Douyin Downloader	22	1	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/auth/__init__.py	Source: Engine Python Douyin Downloader	134	4	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/auth/cookie_manager.py	Source: Engine Python Douyin Downloader	2087	64	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/auth/ms_token_manager.py	Source: Engine Python Douyin Downloader	4938	154	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/cli/__init__.py	Source: Engine Python Douyin Downloader	43	3	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/cli/main.py	Source: Engine Python Douyin Downloader	13886	392	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/cli/progress_display.py	Source: Engine Python Douyin Downloader	10148	292	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/config.example.yml	Source: Engine Python Douyin Downloader	2060	104	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/config/__init__.py	Source: Engine Python Douyin Downloader	129	4	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/config/config_loader.py	Source: Engine Python Douyin Downloader	10368	287	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/config/default_config.py	Source: Engine Python Douyin Downloader	2211	80	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/control/__init__.py	Source: Engine Python Douyin Downloader	177	5	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/control/queue_manager.py	Source: Engine Python Douyin Downloader	1387	37	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/control/rate_limiter.py	Source: Engine Python Douyin Downloader	873	28	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/control/retry_handler.py	Source: Engine Python Douyin Downloader	989	29	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/core/__init__.py	Source: Engine Python Douyin Downloader	336	13	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/core/api_client.py	Source: Engine Python Douyin Downloader	40060	1066	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/core/comments_collector.py	Source: Engine Python Douyin Downloader	4354	122	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/core/discovery.py	Source: Engine Python Douyin Downloader	3772	129	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/core/downloader_base.py	Source: Engine Python Douyin Downloader	28158	756	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/core/downloader_factory.py	Source: Engine Python Douyin Downloader	2378	65	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/core/live_downloader.py	Source: Engine Python Douyin Downloader	11162	295	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/core/mix_downloader.py	Source: Engine Python Douyin Downloader	4591	122	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/core/music_downloader.py	Source: Engine Python Douyin Downloader	8107	222	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/core/transcript_manager.py	Source: Engine Python Douyin Downloader	8953	259	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/core/url_parser.py	Source: Engine Python Douyin Downloader	3121	108	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/core/user_downloader.py	Source: Engine Python Douyin Downloader	11637	298	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/core/user_mode_registry.py	Source: Engine Python Douyin Downloader	1040	34	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/core/user_modes/__init__.py	Source: Engine Python Douyin Downloader	575	17	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/core/user_modes/base_strategy.py	Source: Engine Python Douyin Downloader	9283	257	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/core/user_modes/collect_mix_strategy.py	Source: Engine Python Douyin Downloader	2307	69	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/core/user_modes/collect_strategy.py	Source: Engine Python Douyin Downloader	2955	80	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/core/user_modes/like_strategy.py	Source: Engine Python Douyin Downloader	176	6	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/core/user_modes/mix_strategy.py	Source: Engine Python Douyin Downloader	823	28	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/core/user_modes/music_strategy.py	Source: Engine Python Douyin Downloader	835	28	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/core/user_modes/post_strategy.py	Source: Engine Python Douyin Downloader	3363	92	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/core/video_downloader.py	Source: Engine Python Douyin Downloader	1793	50	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/dy-engine.spec	Source: Engine Python Douyin Downloader	1444	60	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/huong_dan.txt	Source: Engine Python Douyin Downloader	3487	131	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/img/fuye.jpg	Source: Engine Python Douyin Downloader	577361	-1	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/img/logo.png	Source: Engine Python Douyin Downloader	142595	-1	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/pyproject.toml	Source: Engine Python Douyin Downloader	1689	71	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/requirements.txt	Source: Engine Python Douyin Downloader	140	8	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/rthook_dy.py	Source: Engine Python Douyin Downloader	653	21	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/run.py	Source: Engine Python Douyin Downloader	372	15	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/server/__init__.py	Source: Engine Python Douyin Downloader	323	13	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/server/app.py	Source: Engine Python Douyin Downloader	5723	171	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/server/jobs.py	Source: Engine Python Douyin Downloader	5910	165	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/storage/__init__.py	Source: Engine Python Douyin Downloader	245	7	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/storage/database.py	Source: Engine Python Douyin Downloader	6973	189	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/storage/file_manager.py	Source: Engine Python Douyin Downloader	4620	129	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/storage/metadata_handler.py	Source: Engine Python Douyin Downloader	1231	35	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
engines/douyin-engine/tests/test_api_client.py	Source: Engine Python Douyin Downloader	14182	426	tracked	đọc đầy đủ		docs/project-atlas/modules/downloader-douyin.md; docs/project-atlas/flows/douyin-flow.md
